source_policy,policy,task,official_episode_id,repeat_id,seed,success,steps,error,timeout,horizon
cogact,cogact,stack,18,8,202706440,0,60,,0,60
cogact,cogact,stack,19,8,202706441,0,60,,0,60
cogact,cogact,stack,20,8,202706442,0,60,,0,60
cogact,cogact,stack,21,8,202706443,0,60,,0,60
cogact,cogact,stack,22,8,202706444,0,60,,0,60
cogact,cogact,stack,23,8,202706445,1,60,,0,60
cogact,cogact,stack,0,9,202706446,0,60,,0,60
cogact,cogact,stack,1,9,202706447,0,60,,0,60
cogact,cogact,stack,2,9,202706448,0,60,,0,60
cogact,cogact,stack,3,9,202706449,0,60,,0,60
cogact,cogact,stack,4,9,202706450,0,60,,0,60
cogact,cogact,stack,5,9,202706451,0,60,,0,60
cogact,cogact,stack,6,9,202706452,0,60,,0,60
cogact,cogact,stack,7,9,202706453,1,60,,0,60
cogact,cogact,stack,8,9,202706454,0,60,,0,60
cogact,cogact,stack,9,9,202706455,1,60,,0,60
cogact,cogact,stack,10,9,202706456,1,60,,0,60
cogact,cogact,stack,11,9,202706457,0,60,,0,60
cogact,cogact,stack,12,9,202706458,0,60,,0,60
cogact,cogact,stack,13,9,202706459,0,60,,0,60
cogact,cogact,stack,14,9,202706460,0,60,,0,60
cogact,cogact,stack,15,9,202706461,1,60,,0,60
cogact,cogact,stack,16,9,202706462,1,60,,0,60
cogact,cogact,stack,17,9,202706463,0,60,,0,60
cogact,cogact,stack,18,9,202706464,0,60,,0,60
cogact,cogact,stack,19,9,202706465,0,60,,0,60
cogact,cogact,stack,20,9,202706466,0,60,,0,60
cogact,cogact,stack,21,9,202706467,0,60,,0,60
cogact,cogact,stack,22,9,202706468,0,60,,0,60
cogact,cogact,stack,23,9,202706469,1,60,,0,60
cogact,cogact,stack,0,10,202706470,0,60,,0,60
cogact,cogact,stack,1,10,202706471,0,60,,0,60
cogact,cogact,stack,2,10,202706472,1,60,,0,60
cogact,cogact,stack,3,10,202706473,0,60,,0,60
cogact,cogact,stack,4,10,202706474,1,60,,0,60
cogact,cogact,stack,5,10,202706475,0,60,,0,60
cogact,cogact,stack,6,10,202706476,0,60,,0,60
cogact,cogact,stack,7,10,202706477,1,60,,0,60
cogact,cogact,stack,8,10,202706478,0,60,,0,60
cogact,cogact,stack,9,10,202706479,0,60,,0,60
cogact,cogact,stack,10,10,202706480,1,60,,0,60
cogact,cogact,stack,11,10,202706481,0,60,,0,60
cogact,cogact,stack,12,10,202706482,0,60,,0,60
cogact,cogact,stack,13,10,202706483,0,60,,0,60
cogact,cogact,stack,14,10,202706484,0,60,,0,60
cogact,cogact,stack,15,10,202706485,1,60,,0,60
cogact,cogact,stack,16,10,202706486,0,60,,0,60
cogact,cogact,stack,17,10,202706487,0,60,,0,60
cogact,cogact,stack,18,10,202706488,0,60,,0,60
cogact,cogact,stack,19,10,202706489,0,60,,0,60
cogact,cogact,stack,20,10,202706490,0,60,,0,60
cogact,cogact,stack,21,10,202706491,0,60,,0,60
cogact,cogact,stack,22,10,202706492,0,60,,0,60
cogact,cogact,stack,23,10,202706493,1,60,,0,60
cogact,cogact,stack,0,11,202706494,0,60,,0,60
cogact,cogact,stack,1,11,202706495,0,60,,0,60
cogact,cogact,stack,2,11,202706496,0,60,,0,60
cogact,cogact,stack,3,11,202706497,0,60,,0,60
cogact,cogact,stack,4,11,202706498,1,60,,0,60
